CODIGO_DE_LA_INSTITUCION,IES_PADRE,INSTITUCION_DE_EDUCACION_SUPERIOR_IES,PRINCIPAL_O_SECCIONAL,ID_SECTOR_IES,SECTOR_IES,ID_CARACTER,CARACTER_IES,CODIGO_DEL_DEPARTAMENTO_IES,DEPARTAMENTO_DE_DOMICILIO_DE_LA_IES,CODIGO_DEL_MUNICIPIO_IES,MUNICIPIO_DE_DOMICILIO_DE_LA_IES,CODIGO_SNIES_PROGRAMA,PROGRAMA_ACADEMICO,ID_NIVEL_ACADEMICO,NIVEL_ACADEMICO,ID_NIVEL_DE_FORMACION,NIVEL_DE_FORMACION,ID_METODOLOGIA,METODOLOGIA,ID_AREA,AREA_DE_CONOCIMIENTO,ID_NUCLEO,NUCLEO_BASICO_DEL_CONOCIMIENTO_NBC,CODIGO_DEL_DEPARTAMENTO_PROGRAMA,DEPARTAMENTO_DE_OFERTA_DEL_PROGRAMA,CODIGO_DEL_MUNICIPIO_PROGRAMA,MUNICIPIO_DE_OFERTA_DEL_PROGRAMA,ID_SEXO,SEXO,ANO,SEMESTRE,MATRICULADOS_2018
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102349,TECNOLOGÍA EN DISEÑO DE PRODUCTOS INDUSTRIALES,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",830,Ingeniería industrial y afines,50,META,50001,VILLAVICENCIO,1,Hombre,2018,1,16
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102349,TECNOLOGÍA EN DISEÑO DE PRODUCTOS INDUSTRIALES,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",830,Ingeniería industrial y afines,50,META,50001,VILLAVICENCIO,2,Mujer,2018,1,5
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102349,TECNOLOGÍA EN DISEÑO DE PRODUCTOS INDUSTRIALES,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",830,Ingeniería industrial y afines,52,NARIÑO,52001,PASTO,1,Hombre,2018,1,20
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102349,TECNOLOGÍA EN DISEÑO DE PRODUCTOS INDUSTRIALES,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",830,Ingeniería industrial y afines,52,NARIÑO,52001,PASTO,2,Mujer,2018,1,18
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102349,TECNOLOGÍA EN DISEÑO DE PRODUCTOS INDUSTRIALES,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",830,Ingeniería industrial y afines,66,RISARALDA,66170,DOSQUEBRADAS,1,Hombre,2018,1,21
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102349,TECNOLOGÍA EN DISEÑO DE PRODUCTOS INDUSTRIALES,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",830,Ingeniería industrial y afines,66,RISARALDA,66170,DOSQUEBRADAS,2,Mujer,2018,1,7
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102349,TECNOLOGÍA EN DISEÑO DE PRODUCTOS INDUSTRIALES,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",830,Ingeniería industrial y afines,68,SANTANDER,68276,FLORIDABLANCA,1,Hombre,2018,1,65
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102349,TECNOLOGÍA EN DISEÑO DE PRODUCTOS INDUSTRIALES,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",830,Ingeniería industrial y afines,68,SANTANDER,68276,FLORIDABLANCA,2,Mujer,2018,1,30
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102349,TECNOLOGÍA EN DISEÑO DE PRODUCTOS INDUSTRIALES,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",830,Ingeniería industrial y afines,73,TOLIMA,73001,IBAGUÉ,1,Hombre,2018,1,47
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102349,TECNOLOGÍA EN DISEÑO DE PRODUCTOS INDUSTRIALES,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",830,Ingeniería industrial y afines,73,TOLIMA,73001,IBAGUÉ,2,Mujer,2018,1,17
