CODIGO_SNIES_PROGRAMA,INSTITUCION_EDUCACION_SUPERIOR,NOMBRE_DEL_PROGRAMA,REGION,MUNICIPIO_OFERTA_PROGRAMA,2018_1,2018_2,2019_1,2019_2,2020_1,2020_2,2021_1,2021_2,2022_1,2022_2,2023_10,2023_20
91404,INSTITUCIÓN UNIVERSITARIA DE BARRANQUILLA - IUB,TECNOLOGIA EN AUTOMATIZACIÓN ELECTRÓNICA INDUSTRIAL,Región Caribe,Barranquilla,22,0,25,9,19,12,24,9,9,4,2,1
105649,FUNDACION UNIVERSITARIA TECNOLOGICO COMFENALCO - CARTAGENA,TECNOLOGÍA EN CONTROL ELECTRÓNICO DE PROCESOS,Región Caribe,Cartagena de Indias,63,39,89,36,74,13,46,22,46,36,63,51
108049,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,Región Caribe,Cartagena de Indias,0,0,0,102,49,43,0,87,36,1,39,101
108120,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN AUTOMATIZACION INDUSTRIAL,Región Caribe,Barranquilla,0,0,0,30,29,76,0,33,35,33,34,0
108601,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN MANTENIMIENTO ELECTRÓNICO E INSTRUMENTAL INDUSTRIAL,Región Caribe,Riohacha,0,0,0,0,56,63,37,0,0,54,74,36
