CODIGO_SNIES_PROGRAMA,INSTITUCION_EDUCACION_SUPERIOR,NOMBRE_DEL_PROGRAMA,REGION,MUNICIPIO_OFERTA_PROGRAMA,2021_2,2022_1,2022_2,2023_10,2023_20
108117,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGIA EN AUTOMATIZACION INDUSTRIAL,Región Orinoquía,Villavicencio,5,12,1,1,10
110192,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGIA EN MANTENIMIENTO ELECTRONICO E INSTRUMENTAL INDUSTRIAL,Región Orinoquía,Villavicencio,0,0,20,6,15
