CODIGO_SNIES_PROGRAMA,INSTITUCION_EDUCACION_SUPERIOR,NOMBRE_DEL_PROGRAMA,REGION,MUNICIPIO_OFERTA_PROGRAMA,2018_1,2018_2,2019_1,2019_2,2020_1,2020_2,2021_1,2021_2,2022_1,2022_2
91404,INSTITUCIÓN UNIVERSITARIA DE BARRANQUILLA - IUB,TECNOLOGIA EN AUTOMATIZACIÓN ELECTRÓNICA INDUSTRIAL,Región Caribe,Barranquilla,25,7,24,9,18,20,57,25,14,24
105649,FUNDACION UNIVERSITARIA TECNOLOGICO COMFENALCO - CARTAGENA,TECNOLOGÍA EN CONTROL ELECTRÓNICO DE PROCESOS,Región Caribe,Cartagena de Indias,49,25,72,18,56,1,32,12,30,20
108049,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,Región Caribe,Cartagena de Indias,0,0,0,73,35,35,0,72,30,1
108120,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN AUTOMATIZACION INDUSTRIAL,Región Caribe,Barranquilla,0,0,0,27,26,54,0,25,25,25
108601,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN MANTENIMIENTO ELECTRÓNICO E INSTRUMENTAL INDUSTRIAL,Región Caribe,Riohacha,0,0,0,0,35,35,30,0,0,35
