CODIGO_SNIES_PROGRAMA,INSTITUCION_EDUCACION_SUPERIOR,NOMBRE_DEL_PROGRAMA,REGION,MUNICIPIO_OFERTA_PROGRAMA,2018_1,2018_2,2019_1,2019_2,2020_1,2020_2,2021_1,2021_2,2022_1,2022_2,2023_10,2023_20
91404,INSTITUCIÓN UNIVERSITARIA DE BARRANQUILLA - IUB,TECNOLOGIA EN AUTOMATIZACIÓN ELECTRÓNICA INDUSTRIAL,Región Caribe,Barranquilla,67,44,71,47,58,61,113,112,122,92,85,65
105649,FUNDACION UNIVERSITARIA TECNOLOGICO COMFENALCO - CARTAGENA,TECNOLOGÍA EN CONTROL ELECTRÓNICO DE PROCESOS,Región Caribe,Cartagena de Indias,230,199,205,176,171,95,127,114,124,122,139,145
108049,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,Región Caribe,Cartagena de Indias,0,0,0,73,98,133,127,199,169,170,85,169
108120,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN AUTOMATIZACION INDUSTRIAL,Región Caribe,Barranquilla,0,0,0,25,52,107,102,127,115,140,95,95
108601,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN MANTENIMIENTO ELECTRÓNICO E INSTRUMENTAL INDUSTRIAL,Región Caribe,Riohacha,0,0,0,0,35,70,100,100,96,131,92,127
