CODIGO_SNIES_PROGRAMA,INSTITUCION_EDUCACION_SUPERIOR,NOMBRE_DEL_PROGRAMA,REGION,MUNICIPIO_OFERTA_PROGRAMA,2019_2,2020_1,2020_2,2021_1,2021_2,2022_1,2022_2,2023_10,2023_20
108117,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGIA EN AUTOMATIZACION INDUSTRIAL,Región Orinoquía,Villavicencio,49,43,43,91,125,49,95,88,111
110192,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGIA EN MANTENIMIENTO ELECTRONICO E INSTRUMENTAL INDUSTRIAL,Región Orinoquía,Villavicencio,0,0,0,74,104,78,78,44,87
