CODIGO_SNIES_PROGRAMA,INSTITUCION_EDUCACION_SUPERIOR,NOMBRE_DEL_PROGRAMA,REGION,MUNICIPIO_OFERTA_PROGRAMA,2018_1,2018_2,2019_1,2019_2,2020_1,2020_2,2021_1,2021_2,2022_1,2022_2,2023_10,2023_20
91404,INSTITUCIÓN UNIVERSITARIA DE BARRANQUILLA - IUB,TECNOLOGIA EN AUTOMATIZACIÓN ELECTRÓNICA INDUSTRIAL,Región Caribe,Barranquilla,4,10,3,9,4,12,6,17,15,32,25,38
105649,FUNDACION UNIVERSITARIA TECNOLOGICO COMFENALCO - CARTAGENA,TECNOLOGÍA EN CONTROL ELECTRÓNICO DE PROCESOS,Región Caribe,Cartagena de Indias,4,20,21,12,29,22,12,18,24,38,18,13
108049,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,Región Caribe,Cartagena de Indias,0,0,0,0,0,0,0,0,4,12,15,20
108120,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN AUTOMATIZACION INDUSTRIAL,Región Caribe,Barranquilla,0,0,0,0,0,0,0,0,0,8,17,9
108601,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN MANTENIMIENTO ELECTRÓNICO E INSTRUMENTAL INDUSTRIAL,Región Caribe,Riohacha,0,0,0,0,0,0,0,0,0,14,11,21
