CODIGO_SNIES_PROGRAMA,INSTITUCION_EDUCACION_SUPERIOR,NOMBRE_DEL_PROGRAMA,REGION,MUNICIPIO_OFERTA_PROGRAMA,2018_1,2018_2,2019_1,2019_2,2020_1,2020_2,2021_1,2021_2,2022_1,2022_2,2023_10,2023_20
91404,INSTITUCIÓN UNIVERSITARIA DE BARRANQUILLA - IUB,TECNOLOGIA EN AUTOMATIZACIÓN ELECTRÓNICA INDUSTRIAL,Región Caribe,Barranquilla,23,0,21,9,19,9,24,9,9,4,2,2
105649,FUNDACION UNIVERSITARIA TECNOLOGICO COMFENALCO - CARTAGENA,TECNOLOGÍA EN CONTROL ELECTRÓNICO DE PROCESOS,Región Caribe,Cartagena de Indias,71,39,93,42,76,14,49,24,50,40,69,52
108049,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,Región Caribe,Cartagena de Indias,0,0,0,392,266,259,0,416,217,1,125,155
108120,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN AUTOMATIZACION INDUSTRIAL,Región Caribe,Barranquilla,0,0,0,144,163,152,0,105,144,110,179,0
108601,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN MANTENIMIENTO ELECTRÓNICO E INSTRUMENTAL INDUSTRIAL,Región Caribe,Riohacha,0,0,0,0,324,86,121,0,0,135,257,98
