CODIGO_DE_LA_INSTITUCION,IES_PADRE,INSTITUCION_DE_EDUCACION_SUPERIOR_IES,PRINCIPAL_O_SECCIONAL,ID_SECTOR_IES,SECTOR_IES,IES_ACREDITADA,ID_CARACTER,CARACTER_IES,CODIGO_DEL_DEPARTAMENTO_IES,DEPARTAMENTO_DE_DOMICILIO_DE_LA_IES,CODIGO_DEL_MUNICIPIO_IES,MUNICIPIO_DE_DOMICILIO_DE_LA_IES,CODIGO_SNIES_PROGRAMA,PROGRAMA_ACADEMICO,PROGRAMA_ACREDITADO,ID_NIVEL_ACADEMICO,NIVEL_ACADEMICO,ID_NIVEL_DE_FORMACION,NIVEL_DE_FORMACION,ID_METODOLOGIA,METODOLOGIA,ID_AREA_DE_CONOCIMIENTO,AREA_DE_CONOCIMIENTO,ID_NUCLEO,NUCLEO_BASICO_DEL_CONOCIMIENTO_NBC,ID_CINE_CAMPO_AMPLIO,DESC_CINE_CAMPO_AMPLIO,ID_CINE_CAMPO_ESPECIFICO,DESC_CINE_CAMPO_ESPECIFICO,ID_CINE_CODIGO_DETALLADO,DESC_CINE_CODIGO_DETALLADO,CODIGO_DEL_DEPARTAMENTO_PROGRAMA,DEPARTAMENTO_DE_OFERTA_DEL_PROGRAMA,CODIGO_DEL_MUNICIPIO_PROGRAMA,MUNICIPIO_DE_OFERTA_DEL_PROGRAMA,ID_SEXO,SEXO,ANO,SEMESTRE,PRIMER_CURSO
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Principal,1,OFICIAL,SI,4,Universidad,11,Bogotá D.C.,11001,"Bogotá, D.C.",1,INGENIERIA AGRONOMICA,SI,1,PREGRADO,6,Universitario,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",824,"Ingeniería agronómica, pecuaria y afines",8,"Agropecuario, Silvicultura, Pesca y Veterinaria",81,Agropecuario,811,Producción agrícola y ganadera,11,Bogotá D.C.,11001,"Bogotá, D.C.",1,Masculino,2022,1,53
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Principal,1,OFICIAL,SI,4,Universidad,11,Bogotá D.C.,11001,"Bogotá, D.C.",1,INGENIERIA AGRONOMICA,SI,1,PREGRADO,6,Universitario,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",824,"Ingeniería agronómica, pecuaria y afines",8,"Agropecuario, Silvicultura, Pesca y Veterinaria",81,Agropecuario,811,Producción agrícola y ganadera,11,Bogotá D.C.,11001,"Bogotá, D.C.",1,Masculino,2022,2,53
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Principal,1,OFICIAL,SI,4,Universidad,11,Bogotá D.C.,11001,"Bogotá, D.C.",1,INGENIERIA AGRONOMICA,SI,1,PREGRADO,6,Universitario,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",824,"Ingeniería agronómica, pecuaria y afines",8,"Agropecuario, Silvicultura, Pesca y Veterinaria",81,Agropecuario,811,Producción agrícola y ganadera,11,Bogotá D.C.,11001,"Bogotá, D.C.",2,Femenino,2022,1,39
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Principal,1,OFICIAL,SI,4,Universidad,11,Bogotá D.C.,11001,"Bogotá, D.C.",1,INGENIERIA AGRONOMICA,SI,1,PREGRADO,6,Universitario,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",824,"Ingeniería agronómica, pecuaria y afines",8,"Agropecuario, Silvicultura, Pesca y Veterinaria",81,Agropecuario,811,Producción agrícola y ganadera,11,Bogotá D.C.,11001,"Bogotá, D.C.",2,Femenino,2022,2,28
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Principal,1,OFICIAL,SI,4,Universidad,11,Bogotá D.C.,11001,"Bogotá, D.C.",2,MEDICINA VETERINARIA,SI,1,PREGRADO,6,Universitario,1,Presencial,1,"Agronomía, veterinaria y afines",13,Medicina veterinaria,8,"Agropecuario, Silvicultura, Pesca y Veterinaria",84,Veterinaria,841,Veterinaria,11,Bogotá D.C.,11001,"Bogotá, D.C.",1,Masculino,2022,1,20
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Principal,1,OFICIAL,SI,4,Universidad,11,Bogotá D.C.,11001,"Bogotá, D.C.",2,MEDICINA VETERINARIA,SI,1,PREGRADO,6,Universitario,1,Presencial,1,"Agronomía, veterinaria y afines",13,Medicina veterinaria,8,"Agropecuario, Silvicultura, Pesca y Veterinaria",84,Veterinaria,841,Veterinaria,11,Bogotá D.C.,11001,"Bogotá, D.C.",1,Masculino,2022,2,17
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Principal,1,OFICIAL,SI,4,Universidad,11,Bogotá D.C.,11001,"Bogotá, D.C.",2,MEDICINA VETERINARIA,SI,1,PREGRADO,6,Universitario,1,Presencial,1,"Agronomía, veterinaria y afines",13,Medicina veterinaria,8,"Agropecuario, Silvicultura, Pesca y Veterinaria",84,Veterinaria,841,Veterinaria,11,Bogotá D.C.,11001,"Bogotá, D.C.",2,Femenino,2022,1,29
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Principal,1,OFICIAL,SI,4,Universidad,11,Bogotá D.C.,11001,"Bogotá, D.C.",2,MEDICINA VETERINARIA,SI,1,PREGRADO,6,Universitario,1,Presencial,1,"Agronomía, veterinaria y afines",13,Medicina veterinaria,8,"Agropecuario, Silvicultura, Pesca y Veterinaria",84,Veterinaria,841,Veterinaria,11,Bogotá D.C.,11001,"Bogotá, D.C.",2,Femenino,2022,2,39
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Principal,1,OFICIAL,SI,4,Universidad,11,Bogotá D.C.,11001,"Bogotá, D.C.",3,ZOOTECNIA,SI,1,PREGRADO,6,Universitario,1,Presencial,1,"Agronomía, veterinaria y afines",12,Zootecnia,8,"Agropecuario, Silvicultura, Pesca y Veterinaria",81,Agropecuario,811,Producción agrícola y ganadera,11,Bogotá D.C.,11001,"Bogotá, D.C.",1,Masculino,2022,1,21
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Principal,1,OFICIAL,SI,4,Universidad,11,Bogotá D.C.,11001,"Bogotá, D.C.",3,ZOOTECNIA,SI,1,PREGRADO,6,Universitario,1,Presencial,1,"Agronomía, veterinaria y afines",12,Zootecnia,8,"Agropecuario, Silvicultura, Pesca y Veterinaria",81,Agropecuario,811,Producción agrícola y ganadera,11,Bogotá D.C.,11001,"Bogotá, D.C.",1,Masculino,2022,2,18
