CODIGO_SNIES_PROGRAMA,INSTITUCION_EDUCACION_SUPERIOR,MUNICIPIO_OFERTA_PROGRAMA,2018_1,2018_2,2019_1,2019_2,2020_1,2020_2,2021_1,2021_2,2022_1,2022_2,2023_10,2023_20
103358,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Santiago de Cali,23,17,18,16,7,0,0,0,0,0,0,0
107837,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Santiago de Cali,0,0,207,274,479,102,386,270,138,0,0,0
108128,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Pasto,0,0,0,128,116,65,252,0,0,0,72,64
108387,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Popayán,0,0,0,22,116,16,0,23,0,0,0,0
108949,UNIVERSIDAD DEL VALLE,Palmira,0,0,0,0,0,0,0,0,32,37,30,31
109003,UNIVERSIDAD DEL VALLE,Cartago,0,0,0,0,0,0,0,0,25,24,29,23
109528,UNIVERSIDAD DEL VALLE,Buenaventura,0,0,0,0,0,0,0,0,35,18,28,25
109864,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Santiago de Cali,0,0,0,0,0,0,0,30,170,107,24,89
110083,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Popayán,0,0,0,0,0,0,0,89,109,97,0,57
110176,UNIVERSIDAD DEL VALLE,Tuluá,0,0,0,0,0,0,0,0,0,0,0,0
110871,UNIVERSIDAD DEL VALLE,Zarzal,0,0,0,0,0,0,0,0,30,0,24,0
,TOTAL REGIÓN Región Pacífico,,105,61,301,491,763,205,679,468,614,321,255,348
,,,,,,,,,,,,,,
