CODIGO_SNIES_PROGRAMA,INSTITUCION_EDUCACION_SUPERIOR,MUNICIPIO_OFERTA_PROGRAMA,SUMA_INSCRITOS_2022_2024,SUMA_ADMITIDOS_2022_2024,SUMA_PRIMER_CURSO_2022_2024,SUMA_PRIMER_CURSO_2023_2024
105344,FUNDACION UNIVERSITARIA COLOMBO GERMANA,"Bogotá, D.C.",0.0,0.0,0.0,0.0
91153,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Manizales,41.0,37.0,27.0,0.0
108014,INSTITUCION UNIVERSITARIA EAM,Armenia,20.0,19.0,17.0,0.0
107757,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Girón,1.0,1.0,1.0,0.0
103358,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Santiago de Cali,0.0,0.0,0.0,0.0
107837,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Santiago de Cali,138.0,90.0,70.0,0.0
108387,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Popayán,0.0,0.0,0.0,0.0
108119,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Ibagué,0.0,0.0,0.0,0.0
