CODIGO_SNIES_PROGRAMA,INSTITUCION_EDUCACION_SUPERIOR,MUNICIPIO_OFERTA_PROGRAMA
105344,FUNDACION UNIVERSITARIA COLOMBO GERMANA,"Bogotá, D.C."
91153,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Manizales
108014,INSTITUCION UNIVERSITARIA EAM,Armenia
107757,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Girón
103358,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Santiago de Cali
107837,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Santiago de Cali
108387,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Popayán
108119,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Ibagué
