CODIGO_DE_LA_INSTITUCION,IES_PADRE,INSTITUCION_DE_EDUCACION_SUPERIOR_IES,PRINCIPAL_O_SECCIONAL,ID_SECTOR_IES,SECTOR_IES,ID_CARACTER,CARACTER_IES,CODIGO_DEL_DEPARTAMENTO_IES,DEPARTAMENTO_DE_DOMICILIO_DE_LA_IES,CODIGO_DEL_MUNICIPIO,MUNICIPIO_DE_DOMICILIO_DE_LA_IES,CODIGO_SNIES_PROGRAMA,PROGRAMA_ACADEMICO,ID_NIVEL_ACADEMICO,NIVEL_ACADEMICO,ID_NIVEL_DE_FORMACION,NIVEL_DE_FORMACION,ID_METODOLOGIA,METODOLOGIA,ID_AREA,AREA_DE_CONOCIMIENTO,ID_NUCLEO,NUCLEO_BASICO_DEL_CONOCIMIENTO_NBC,ID_CINE_CAMPO_AMPLIO,DESC_CINE_CAMPO_AMPLIO,ID_CINE_CAMPO_ESPECIFICO,DESC_CINE_CAMPO_ESPECIFICO,ID_CINE_CODIGO_DETALLADO,DESC_CINE_CODIGO_DETALLADO,CODIGO_DEL_DEPARTAMENTO_PROGRAMA,DEPARTAMENTO_DE_OFERTA_DEL_PROGRAMA,CODIGO_DEL_MUNICIPIO_PROGRAMA,MUNICIPIO_DE_OFERTA_DEL_PROGRAMA,ID_SEXO,SEXO,ANO,SEMESTRE,GRADUADOS
1709,1709,UNIVERSIDAD CENTRAL,PRINCIPAL,2,PRIVADA,4,UNIVERSIDAD,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",53805,MAESTRÍA EN INTERVENCIÓN EN SISTEMAS HUMANOS,2,POSGRADO,2,MAESTRÍA,1,PRESENCIAL,5,CIENCIAS SOCIALES Y HUMANAS,555,"BIBLIOTECOLOGÍA, OTROS DE CIENCIAS SOCIALES Y HUMANAS",3,"CIENCIAS SOCIALES, PERIODISMO E INFORMACIÓN",38,"PROGRAMAS Y CERTIFICACIONES INTERDISCIPLINARIOS RELATIVOS A CIENCIAS SOCIALES, PERIODISMO E INFORMACIÓN",388,"PROGRAMAS Y CERTIFICACIONES INTERDISCIPLINARIOS RELATIVOS A CIENCIAS SOCIALES, PERIODISMO E INFORMACIÓN",11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",2,MUJER,2019,2,2
1709,1709,UNIVERSIDAD CENTRAL,PRINCIPAL,2,PRIVADA,4,UNIVERSIDAD,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",103605,MAESTRÍA EN TRIBUTACIÓN,2,POSGRADO,2,MAESTRÍA,1,PRESENCIAL,6,"ECONOMÍA, ADMINISTRACIÓN, CONTADURÍA Y AFINES",612,CONTADURÍA PÚBLICA,4,ADMINISTRACIÓN DE EMPRESAS Y DERECHO,41,EDUCACIÓN COMERCIAL Y ADMINISTRACIÓN,411,CONTABILIDAD E IMPUESTOS,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",1,HOMBRE,2019,2,4
1709,1709,UNIVERSIDAD CENTRAL,PRINCIPAL,2,PRIVADA,4,UNIVERSIDAD,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",15706,ECONOMIA,1,PREGRADO,6,UNIVERSITARIA,1,PRESENCIAL,6,"ECONOMÍA, ADMINISTRACIÓN, CONTADURÍA Y AFINES",611,ECONOMÍA,3,"CIENCIAS SOCIALES, PERIODISMO E INFORMACIÓN",31,CIENCIAS SOCIALES Y DEL COMPORTAMIENTO,311,ECONOMÍA,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",1,HOMBRE,2019,2,10
1709,1709,UNIVERSIDAD CENTRAL,PRINCIPAL,2,PRIVADA,4,UNIVERSIDAD,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",4821,ESPECIALIZACION EN REVISORIA FISCAL,2,POSGRADO,1,ESPECIALIZACIÓN UNIVERSITARIA,1,PRESENCIAL,6,"ECONOMÍA, ADMINISTRACIÓN, CONTADURÍA Y AFINES",612,CONTADURÍA PÚBLICA,4,ADMINISTRACIÓN DE EMPRESAS Y DERECHO,41,EDUCACIÓN COMERCIAL Y ADMINISTRACIÓN,411,CONTABILIDAD E IMPUESTOS,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",2,MUJER,2019,2,3
1709,1709,UNIVERSIDAD CENTRAL,PRINCIPAL,2,PRIVADA,4,UNIVERSIDAD,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",90559,CREACION LITERARIA,1,PREGRADO,6,UNIVERSITARIA,1,PRESENCIAL,5,CIENCIAS SOCIALES Y HUMANAS,564,"LENGUAS MODERNAS, LITERATURA, LINGUÍSTICA Y AFINES",2,ARTE Y HUMANIDADES,23,IDIOMAS,232,LITERATURA Y LINGÜÍSTICA,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",1,HOMBRE,2019,1,1
1709,1709,UNIVERSIDAD CENTRAL,PRINCIPAL,2,PRIVADA,4,UNIVERSIDAD,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",105410,ESPECIALIZACIÓN EN PUBLICIDAD DIGITAL,2,POSGRADO,1,ESPECIALIZACIÓN UNIVERSITARIA,1,PRESENCIAL,2,BELLAS ARTES,26,PUBLICIDAD Y AFINES,4,ADMINISTRACIÓN DE EMPRESAS Y DERECHO,41,EDUCACIÓN COMERCIAL Y ADMINISTRACIÓN,414,MERCADOTECNIA Y PUBLICIDAD,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",1,HOMBRE,2019,1,14
1709,1709,UNIVERSIDAD CENTRAL,PRINCIPAL,2,PRIVADA,4,UNIVERSIDAD,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",53809,ESPECIALIZACIÓN EN CREACIÓN NARRATIVA,2,POSGRADO,1,ESPECIALIZACIÓN UNIVERSITARIA,1,PRESENCIAL,5,CIENCIAS SOCIALES Y HUMANAS,564,"LENGUAS MODERNAS, LITERATURA, LINGUÍSTICA Y AFINES",2,ARTE Y HUMANIDADES,23,IDIOMAS,232,LITERATURA Y LINGÜÍSTICA,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",1,HOMBRE,2019,1,1
1709,1709,UNIVERSIDAD CENTRAL,PRINCIPAL,2,PRIVADA,4,UNIVERSIDAD,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",91499,MAESTRÍA EN GESTIÓN DE ORGANIZACIONES,2,POSGRADO,2,MAESTRÍA,1,PRESENCIAL,6,"ECONOMÍA, ADMINISTRACIÓN, CONTADURÍA Y AFINES",69,ADMINISTRACIÓN,4,ADMINISTRACIÓN DE EMPRESAS Y DERECHO,41,EDUCACIÓN COMERCIAL Y ADMINISTRACIÓN,413,GESTIÓN Y ADMINISTRACIÓN,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",1,HOMBRE,2019,1,2
1709,1709,UNIVERSIDAD CENTRAL,PRINCIPAL,2,PRIVADA,4,UNIVERSIDAD,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",101883,MAESTRÍA EN ESTUDIOS MUSICALES,2,POSGRADO,2,MAESTRÍA,1,PRESENCIAL,2,BELLAS ARTES,28,MÚSICA,2,ARTE Y HUMANIDADES,21,ARTES,215,MÚSICA Y ARTES ESCÉNICAS,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",2,MUJER,2019,1,1
2831,2831,CORPORACION UNIVERSITARIA DE CIENCIA Y DESARROLLO - UNICI,PRINCIPAL,2,PRIVADA,3,INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",11274,ADMINISTRACION DE EMPRESAS,1,PREGRADO,6,UNIVERSITARIA,1,PRESENCIAL,6,"ECONOMÍA, ADMINISTRACIÓN, CONTADURÍA Y AFINES",69,ADMINISTRACIÓN,4,ADMINISTRACIÓN DE EMPRESAS Y DERECHO,41,EDUCACIÓN COMERCIAL Y ADMINISTRACIÓN,413,GESTIÓN Y ADMINISTRACIÓN,68,SANTANDER,68001,BUCARAMANGA,1,HOMBRE,2019,2,25
2831,2831,CORPORACION UNIVERSITARIA DE CIENCIA Y DESARROLLO - UNICI,PRINCIPAL,2,PRIVADA,3,INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",105201,INGENIERÍA DE SISTEMAS,1,PREGRADO,6,UNIVERSITARIA,1,PRESENCIAL,8,"INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES",827,"INGENIERÍA DE SISTEMAS, TELEMÁTICA Y AFINES",7,"INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN",71,INGENIERÍA Y PROFESIONES AFINES,714,ELECTRÓNICA Y AUTOMATIZACIÓN,68,SANTANDER,68001,BUCARAMANGA,1,HOMBRE,2019,1,3
2831,2831,CORPORACION UNIVERSITARIA DE CIENCIA Y DESARROLLO - UNICI,PRINCIPAL,2,PRIVADA,3,INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",6756,CONTADURIA PUBLICA,1,PREGRADO,6,UNIVERSITARIA,1,PRESENCIAL,6,"ECONOMÍA, ADMINISTRACIÓN, CONTADURÍA Y AFINES",612,CONTADURÍA PÚBLICA,4,ADMINISTRACIÓN DE EMPRESAS Y DERECHO,41,EDUCACIÓN COMERCIAL Y ADMINISTRACIÓN,411,CONTABILIDAD E IMPUESTOS,5,ANTIOQUIA,5001,MEDELLÍN,2,MUJER,2019,1,31
2831,2831,CORPORACION UNIVERSITARIA DE CIENCIA Y DESARROLLO - UNICI,PRINCIPAL,2,PRIVADA,3,INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",11058,ADMINISTRACION DE EMPRESAS,1,PREGRADO,6,UNIVERSITARIA,1,PRESENCIAL,6,"ECONOMÍA, ADMINISTRACIÓN, CONTADURÍA Y AFINES",69,ADMINISTRACIÓN,4,ADMINISTRACIÓN DE EMPRESAS Y DERECHO,41,EDUCACIÓN COMERCIAL Y ADMINISTRACIÓN,413,GESTIÓN Y ADMINISTRACIÓN,23,CÓRDOBA,23001,MONTERÍA,1,HOMBRE,2019,2,10
1202,1202,UNIVERSIDAD DEL ATLANTICO,PRINCIPAL,1,OFICIAL,4,UNIVERSIDAD,8,ATLÁNTICO,8001,BARRANQUILLA,90995,MAESTRIA EN LITERATURA HISPANOAMERICANA Y DEL CARIBE,2,POSGRADO,2,MAESTRÍA,1,PRESENCIAL,5,CIENCIAS SOCIALES Y HUMANAS,564,"LENGUAS MODERNAS, LITERATURA, LINGUÍSTICA Y AFINES",2,ARTE Y HUMANIDADES,23,IDIOMAS,232,LITERATURA Y LINGÜÍSTICA,8,ATLÁNTICO,8001,BARRANQUILLA,2,MUJER,2019,1,5
