CODIGO_SNIES_PROGRAMA,INSTITUCION_EDUCACION_SUPERIOR,MUNICIPIO_OFERTA_PROGRAMA,2018_1,2018_2,2019_1,2019_2,2020_1,2020_2,2021_1,2021_2,2022_1,2022_2,2023_10,2023_20
103358,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Santiago de Cali,2,6,2,2,2,7,7,11,4,12,4,9
107837,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Santiago de Cali,0,0,0,0,0,0,0,29,9,57,42,79
108128,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Pasto,0,0,0,0,0,0,0,0,0,9,7,13
108387,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Popayán,0,0,0,0,0,0,0,0,3,13,1,0
108949,UNIVERSIDAD DEL VALLE,Palmira,0,0,0,0,0,0,0,0,0,0,0,0
109003,UNIVERSIDAD DEL VALLE,Cartago,0,0,0,0,0,0,0,0,0,0,0,0
109528,UNIVERSIDAD DEL VALLE,Buenaventura,0,0,0,0,0,0,0,0,0,0,0,0
109864,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Santiago de Cali,0,0,0,0,0,0,0,0,0,0,0,0
110083,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Popayán,0,0,0,0,0,0,0,0,0,0,0,0
110176,UNIVERSIDAD DEL VALLE,Tuluá,0,0,0,0,0,0,0,0,0,0,0,0
110871,UNIVERSIDAD DEL VALLE,Zarzal,0,0,0,0,0,0,0,0,0,0,0,0
,TOTAL REGIÓN Región Pacífico,,15,52,16,43,19,21,27,55,32,136,71,116
,,,,,,,,,,,,,,
